,name,description,id,category
67,令和ポップス,"2019年に幕を開けた令和。ストリーミングや動画サイトでのバイラルが影響力を増し、社会情勢や価値観が激動している""ニューノーマル""な時代のポップミュージック。",37i9dQZF1DXdurasRmJgpJ,j_tracks
68,歌うポップヒッツ - Sing-Along -,Spotifyの新機能を使って、ヒット曲を歌い尽くそう ！(歌詞ページ左下の🎤ボタンを押してシンガロングをお楽しみください),37i9dQZF1DWUnxWoAqoCag,j_tracks
69,平成ポップヒストリー,平成元年(1989年)〜30年(2018年)のヒット曲を年代順にお送りします。CDのミリオンヒット、着うた、ダウンロード、音楽フェス、そしてストリーミング時代へと駆け抜けた30年間を総括。,37i9dQZF1DWYQelb54GZmT,j_tracks
70,昭和ポップス,再び脚光を浴びる「昭和ポップス」。フォーク、アイドルソング、テクノ歌謡、シティポップ、そして歌謡曲。世代を問わず家族でヒット曲を口ずさむことができた黄金の時代。,37i9dQZF1DX2QCBqV8Ylrq,j_tracks
71,Anime Now,"Best new Anime tracks for all Anime fans! 最新アニメシーンの話題曲をまとめてお届け！Illustration by <a href=""https://kazuhisauragami.com/""> Kazuhisa Uragami</a>",37i9dQZF1DWT8aqnwgRt92,j_tracks
72,Liner Voice+ Ado「狂言」,"<a href=""https://kompass.cinra.net/article/202201-ado"">Spotifyオリジナル企画「Liner Voice+」</a>。Ado ニューアルバム『狂言』をAdoが全曲ディープに解説！インタビュアー：ふくりゅう(音楽コンシェルジュ) Kompass連動記事は<a href=""https://kompass.cinra.net/article/202201-ado"">こちら</a>。",37i9dQZF1DX3XC16TlRgrR,j_tracks
73,歌うJ-Rock - Sing-Along -,Spotifyの新機能シンガロングを使って、みんなでロック！(歌詞ページ左下の🎤ボタンを押してシンガロングをお楽しみください),37i9dQZF1DWSGR2XLfOnfo,j_tracks
74,MUSIC STATION,"テレビ朝日24局ネットで毎週金曜日21:00より放送の<a href=""https://www.tv-asahi.co.jp/music/"">「ミュージックステーション」</a>オフィシャルプレイリスト。",37i9dQZF1DX9YBuWaMN8SH,j_tracks
75,太陽を見てしまった,"インターネット・カルチャーから次々と出現するアーティストを特集。Check out artists of the new Internet age! Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DX1KJ0jRmRVDZ,j_tracks
76,昭和歌謡,時代が移り変わっても歌い継がれる昭和の歌謡曲。,37i9dQZF1DWTKzzmIviGrL,j_tracks
77,歌うアニメヒッツ - Sing-Along -,"Spotifyの新機能を使って、アニメヒッツを歌い尽くそう！(歌詞ページ左下の🎤ボタンを押してシンガロングをお楽しみください)
",37i9dQZF1DX3f3gm9VK7fL,j_tracks
78,君が生きてなくてよかった,"命を持たないVOCALOIDの魅力を特集。
",37i9dQZF1DX4OQqDGyEiDU,j_tracks
79,JUICE,乾いた喉を潤す、フレッシュで(ヒップ)ポップな新時代のVibesを。,37i9dQZF1DXajjAvBz0cPm,j_tracks
80,This Is STUDIO GHIBLI -スタジオジブリ-,"スタジオジブリ作品の軌跡がここに。All of the essentials from Hayao Miyazaki's ""Studio Ghibli"" films, right here.",37i9dQZF1DX7GTqMQDhOum,j_tracks
81,Rock Anthems Japan 10s,2010年代 J-Rockの名曲をひとつのプレイリストにコンパイル。,37i9dQZF1DWVCWq6ehLoH4,j_tracks
82,眠れぬ夜の音楽,眠れない夜も音楽と一緒に。くつろぎながら、入眠効果のある音楽と素敵な夜をゆったりとお過ごし下さい。,37i9dQZF1DXaJxsaI3czLL,j_tracks
83,ドラえもん -Doraemon The Movie-,最新作公開記念！映画ドラえもんを彩ってきた歴代主題歌、挿入歌を集めた公式プレイリスト。Enjoy music from Doraemon The Movie! ©藤子プロ・小学館・テレビ朝日・シンエイ・ADK 2020,37i9dQZF1DWUVNUz8WZk9Y,j_tracks
84,まどろみの中で,"いろいろあるかも知れないけれど、ちょっと休憩しませんか？チルな楽曲でゆったりまったりなひと時を。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DX9rVeQ0kNLOd,j_tracks
85,週刊プレイリスト,"インスタメディア『PLAYLIST』のトレンドプレイリスト。
音楽好きの若者に支持されたインスタアカウント（Instagram：<a href=""https://www.instagram.com/playlist_of/"">@playlist_of</a>）の編集者が今話題の楽曲をピック。
毎週土曜日更新中。",37i9dQZF1DWV0ZPLNrlp88,j_tracks
86,Rock Anthems Japan 80s,"音楽史に名を刻んだ1980年代Japan Rockの名曲をひとつのプレイリストに。
",37i9dQZF1DX8E5Uj8VRchR,j_tracks
87,歌うJ-Rap - Sing-Along -,Spotifyの新機能シンガロングを使って、ラッパー気分！*歌詞ページ左下の🎤ボタンを押してお楽しみください。,37i9dQZF1DXbXiYi0xyeiI,j_tracks
88,Rock Anthems Japan 00s,"2000年代 J-Rockの名曲をひとつのプレイリストにコンパイル。
",37i9dQZF1DWV48gEMVy7G8,j_tracks
89,Enka Best: 演歌名曲集,"歌い継がれる演歌の名曲集。最新の演歌は<a href=""spotify:playlist:37i9dQZF1DXb0a9ybwpO6R"">「Enka Now:令和時代の演歌」</a>へ。",37i9dQZF1DXbSv6m8hMdDm,j_tracks
90,+81 Connect GOLD : 20's J-Hiphop Hits,J-Hiphopの「今」と「その先」をつなぐ、2020年代を象徴するヒット曲を特集。,37i9dQZF1DX9Rd9ATjCaXU,j_tracks
91,THE FIRST TAKE,"<a href=""https://www.youtube.com/channel/UC9zY_E8mcAo_Oq772LEZq8Q/"">「THE FIRST TAKE」</a>オフィシャルプレイリスト。音楽とPodcastをひとつのプレイリストで。",37i9dQZF1DXasMhtBJhqWM,j_tracks
92,Urban Classical Japan,日本の現代クラシックミュージック。随時更新中。Cover: 坂本龍一 (Ryuichi Sakamoto ) Photo by zakkubalan ©2020 Kab Inc.,37i9dQZF1DX30qK0lxZtlE,j_tracks
93,City Pop '80s,Explore the dazzling sound of Japanese City Pop from the ‘80s./ 都会の夜をクルージング、週末は海辺でリゾート気分。煌めきに満ちた毎日を彩った、黄金期のシティポップ 。,37i9dQZF1DWW28hvtiO3j9,j_tracks
94,Liner Voice+ マカロニえんぴつ「ハッピーエンドへの期待は」,"<a href=""https://kompass.cinra.net/article/202201-macaroniempitsu"">Spotifyオリジナル企画「Liner Voice+」</a>。マカロニえんぴつ ニューアルバム『ハッピーエンドへの期待は』をはっとりが全曲ディープに解説！インタビュアー：金子厚武  Kompass連動記事は<a href=""https://kompass.cinra.net/article/202201-macaroniempitsu"">こちら</a>。",37i9dQZF1DWWzj5ExIA2aT,j_tracks
95,Hot Hits Japan,世界中のトレンドと日本の最新ヒット曲をまとめてお届けします。Cover: マカロニえんぴつ,37i9dQZF1DXayDMsJG9ZBv,pop
96,Next Up,前週大きく注目を浴びた楽曲。ネクスト・ヒットをいち早く。 cover: ザ・チェインスモーカーズ,37i9dQZF1DWZvuOKNcLsjv,pop
97,On Replay -メガヒット・リプレイ-,Top Hits Japan、もしくはTokyo Super Hitsに10週以上リスト・インしたロング&メガヒット曲をひとつのプレイリストに。cover: ドージャ・キャット x SZA,37i9dQZF1DX6rGPDxQsF1V,pop
98,Weekly Buzz Tokyo,今週話題の楽曲をまとめてチェック！Cover: 宇多田ヒカル,37i9dQZF1DWZZbpkxU5t9L,pop
99,Today's Top Hits,Gunna is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,pop
